what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ecf.provider.jmdns,4.1.0.v20111230-0120,"org.eclipse.ecf.provider.jmdns",1424836130512
started,bundle,ch.ethz.iks.slp,1.1.0.v20111230-0120,"ch.ethz.iks.slp",1424836130756
started,bundle,org.eclipse.ecf.provider.jslp,3.0.100.v20111230-0120,"org.eclipse.ecf.provider.jslp",1424836130757
started,bundle,org.eclipse.ecf.provider.msn,1.2.0.v20111230-0120,"org.eclipse.ecf.provider.msn",1424836130817
started,bundle,ch.ethz.iks.r_osgi.remote,1.0.0.RC4_v20111230-0120,"ch.ethz.iks.r_osgi.remote",1424836131064
started,bundle,org.eclipse.ecf.provider.r_osgi,3.2.0.v20111230-0120,"org.eclipse.ecf.provider.r_osgi",1424836131066
started,bundle,org.eclipse.ecf.provider.xmpp,3.2.0.v20111230-0120,"org.eclipse.ecf.provider.xmpp",1424836131293
started,bundle,org.eclipse.ecf.provider.zookeeper,1.0.100.v20111230-0120,"org.eclipse.ecf.provider.zookeeper",1424836131293
started,bundle,org.eclipse.ecf.remoteservice.rest,2.2.100.v20111230-0120,"org.eclipse.ecf.remoteservice.rest",1424836131308
started,bundle,org.eclipse.ecf.storage,2.0.0.v20111230-0120,"org.eclipse.ecf.storage",1424836131363
started,bundle,org.eclipse.ecf.presence.collab.ui,1.3.0.v20111230-0120,"org.eclipse.ecf.presence.collab.ui",1424836131477
started,bundle,org.eclipse.ecf,3.1.300.v20110531-2218,"org.eclipse.ecf",1424836131833
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424836140929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424836489956
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424836509639
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424836552152
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424836552536
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424836657821
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424836666734
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424836666782
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.textStart",1424836757877
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1424836767163
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424836772448
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1424836836073
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineStart",1424836836584
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1424836908576
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.refresh",1424836917639
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424836919837
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424836919892
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1424836920568
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424836925083
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424837162367
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424837272697
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424837274852
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424837633859
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424837689348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1424838481784
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424838579617
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424838877560
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1424838877607
