127.0.0.1 - - [25/Sep/2018:13:54:25 +0700] "GET / HTTP/1.1" 404 951
0:0:0:0:0:0:0:1 - - [25/Sep/2018:13:54:34 +0700] "GET /webui/ HTTP/1.1" 200 3403
0:0:0:0:0:0:0:1 - - [25/Sep/2018:13:54:35 +0700] "GET /webui/zkau/web/8914214/js/ext/timeplot/api/styles/timeplot-bundle.css;jsessionid=EF6CE6109096D8934819075C770EDD11 HTTP/1.1" 200 479
0:0:0:0:0:0:0:1 - - [25/Sep/2018:13:54:36 +0700] "GET /webui/zkau/web/8914214/zkmax/zul/css/zkmaxmoz.css.dsp;jsessionid=EF6CE6109096D8934819075C770EDD11 HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [25/Sep/2018:13:54:37 +0700] "GET /webui/zkau/web/8914214/zkex/zul/css/zkexmoz.css.dsp;jsessionid=EF6CE6109096D8934819075C770EDD11 HTTP/1.1" 200 1146
0:0:0:0:0:0:0:1 - - [25/Sep/2018:13:54:39 +0700] "GET /webui/theme/default/css/theme.css.dsp;jsessionid=EF6CE6109096D8934819075C770EDD11 HTTP/1.1" 200 2497
0:0:0:0:0:0:0:1 - - [25/Sep/2018:13:54:39 +0700] "GET /webui/theme/default/css/thememoz.css.dsp;jsessionid=EF6CE6109096D8934819075C770EDD11 HTTP/1.1" 404 1019
0:0:0:0:0:0:0:1 - - [25/Sep/2018:13:54:39 +0700] "GET /webui/css/PAPanel.css;jsessionid=EF6CE6109096D8934819075C770EDD11 HTTP/1.1" 200 843
0:0:0:0:0:0:0:1 - - [25/Sep/2018:13:54:39 +0700] "GET /webui/theme/default/css/color.css.dsp;jsessionid=EF6CE6109096D8934819075C770EDD11 HTTP/1.1" 200 2700
0:0:0:0:0:0:0:1 - - [25/Sep/2018:13:54:40 +0700] "GET /webui/theme/default/css/img.css.dsp;jsessionid=EF6CE6109096D8934819075C770EDD11 HTTP/1.1" 200 3892
0:0:0:0:0:0:0:1 - - [25/Sep/2018:13:54:42 +0700] "GET /webui/zkau/web/8914214/js/zk/zk.js.dsp HTTP/1.1" 200 46159
0:0:0:0:0:0:0:1 - - [25/Sep/2018:13:54:43 +0700] "GET /webui/zkau/web/8914214/js/zk/lang.js.dsp HTTP/1.1" 200 857
0:0:0:0:0:0:0:1 - - [25/Sep/2018:13:54:43 +0700] "GET /webui/js/calc.js HTTP/1.1" 200 3384
0:0:0:0:0:0:0:1 - - [25/Sep/2018:13:54:43 +0700] "GET /webui/js/report.js HTTP/1.1" 200 1048
0:0:0:0:0:0:0:1 - - [25/Sep/2018:13:54:43 +0700] "GET /webui/js/layout.js HTTP/1.1" 200 624
0:0:0:0:0:0:0:1 - - [25/Sep/2018:13:54:43 +0700] "GET /webui/js/token.js HTTP/1.1" 200 2012
0:0:0:0:0:0:0:1 - - [25/Sep/2018:13:54:43 +0700] "GET /webui/js/persist-min.js HTTP/1.1" 200 10463
0:0:0:0:0:0:0:1 - - [25/Sep/2018:13:54:43 +0700] "GET /webui/js/text_action.js HTTP/1.1" 200 2138
